Altium Designer Pick and Place Locations
C:\Users\kakan\OneDrive - Institut Teknologi Bandung\Documents\ITB\Tugas Akhir\PCB\Tag\Project Outputs for Tag\Pick Place for Tag.csv

========================================================================================================================
File Design Information:

Date:       05/03/26
Time:       11:11
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation"
"U6","AP2112K-3.3TRG1","TopLayer","SOT95P285X140-5N","23.8150","11.0910","90"
"Y2","32kHz","TopLayer","XTAL_ECS-.327-6-34RR-TR","25.2730","37.3380","0"
"Y1","XRCGB40M000F1S1BR0","TopLayer","OSC_XRCGB40M000F1S1BR0","14.1240","31.5960","0"
"USB1","TYPE-C 16PIN 2MD(073)","TopLayer","USB-C-SMD_TYPE-C-6PIN-2MD-073","5.1020","10.5410","270"
"U5","AP2112K-3.3TRG1","TopLayer","SOT95P285X140-5N","18.0340","11.0910","90"
"U4","MCP73831T-2ACI/OT","TopLayer","SOT95P280X145-5N","32.9000","8.8000","90"
"U3","BNO055","TopLayer","LGA28R50P4X10_380X520X100","26.1620","33.0200","0"
"U2","DWM1000","TopLayer","XCVR_DWM1000","42.3525","22.5000","270"
"U1","ESP32-S3FH4R2","TopLayer","QFN40P700X700X90-57N","14.9210","24.3630","0"
"SW3","MK-12C02-G020","TopLayer","SW-SMD_MK-12C02-G020","23.8760","2.3326","0"
"SW2","B3U-1000PM","TopLayer","SW_B3U-1000PM","6.0960","20.5740","180"
"SW1","B3U-1000PM","TopLayer","SW_B3U-1000PM","6.0960","17.3990","180"
"R28","10K","TopLayer","0603R","10.9220","17.0180","270"
"R27","10K","BottomLayer","0603R","19.0000","30.4000","90"
"R26","10K","BottomLayer","0603R","16.9000","30.4000","90"
"R14","5K1","TopLayer","0603R","12.7000","8.8000","180"
"R13","5K1","TopLayer","0603R","12.7000","12.4000","180"
"R12","2K","TopLayer","0603R","33.1470","23.1140","90"
"R11","2K","TopLayer","0603R","34.0360","37.9730","0"
"R10","1K","TopLayer","0603R","26.6700","9.2710","180"
"R9","1K","BottomLayer","0603R","29.7180","7.3470","180"
"R8","2K","BottomLayer","0603R","29.7180","10.3950","0"
"R5","1K","TopLayer","0603R","46.7360","32.1930","270"
"R4","1K","TopLayer","0603R","48.6410","32.1930","90"
"R3","10K","TopLayer","0603R","47.4000","13.2000","0"
"LD3","GREEN","TopLayer","0603_LED","29.8450","8.7440","270"
"LD2","","TopLayer","0603_LED","33.1470","26.4160","270"
"LD1","","TopLayer","0603_LED","33.9090","36.3870","0"
"L3","L-07C2N7SV6T","TopLayer","INDC1005X60N","2.1000","32.3500","180"
"L2","L-07C3N3SV6T","TopLayer","INDC1005X60N","1.6000","33.9500","90"
"L1","Inductor","TopLayer","0402-A","7.0000","24.6000","270"
"J1","B2B-PH-K-S","TopLayer","JST_B2B-PH-K-S","32.6390","2.0500","0"
"E1","2450AT18B100E","TopLayer","XDCR_2450AT18B100E","1.6000","37.3000","90"
"D2","1N5819HW","TopLayer","SOD-123FL","35.9998","7.7002","90"
"D1","1N5819HW","TopLayer","SOD-123FL","4.0642","3.8102","0"
"C30","10uF","TopLayer","0603C","41.4000","32.2000","270"
"C29","100nF","TopLayer","0603C","42.9000","32.2000","270"
"C28","10uF","TopLayer","0603C","9.4000","7.4000","90"
"C27","12pF","TopLayer","CAPC1005X55N","15.8000","31.5000","90"
"C26","12pF","TopLayer","CAPC1005X55N","14.0970","33.5010","0"
"C25","10uF","TopLayer","0603C","9.5250","17.0180","90"
"C24","500R07S1R2BV4T","TopLayer","CAPC1005X55N","1.6000","30.6500","90"
"C23","100nF","TopLayer","0603C","13.6000","19.3000","0"
"C22","100nF","TopLayer","0603C","16.2000","29.6000","0"
"C21","10uF","TopLayer","0603C","20.5000","20.1000","180"
"C20","100nF","TopLayer","0603C","20.5000","21.5000","180"
"C19","10uF","TopLayer","0603C","10.5680","29.7180","270"
"C18","100nF","TopLayer","0603C","12.0000","29.7000","270"
"C17","10uF","TopLayer","0603C","5.2000","22.9000","0"
"C16","10uF","TopLayer","0603C","5.2530","25.3810","0"
"C15","100nF","TopLayer","0603C","33.1000","6.0000","0"
"C14","10uF","TopLayer","0603C","37.9000","8.7000","90"
"C13","100nF","TopLayer","0603C","23.6000","13.8000","180"
"C12","10uF","TopLayer","0603C","23.6000","15.2000","180"
"C11","100nF","TopLayer","0603C","23.9928","8.0906","180"
"C10","10uF","TopLayer","0603C","24.0000","6.7000","180"
"C9","100nF","TopLayer","0603C","17.8000","13.9000","180"
"C8","10uF","TopLayer","0603C","17.8000","15.3000","180"
"C7","100nF","TopLayer","0603C","18.4000","8.2000","180"
"C6","10uF","TopLayer","0603C","18.4000","6.8000","180"
"C5","100nF","TopLayer","0603C","24.6000","30.0000","0"
"C4","22pF","TopLayer","CAPC1005X55N","27.9400","37.0840","90"
"C3","22pF","TopLayer","CAPC1005X55N","22.3000","36.5000","180"
"C2","100nF","TopLayer","CAPC1005X55N","5.4000","24.1000","0"
"C1","100nF","TopLayer","CAPC1005X55N","8.5500","25.5000","0"
