Altium Designer Pick and Place Locations
C:\Users\kakan\OneDrive - Institut Teknologi Bandung\Documents\ITB\Tugas Akhir\PCB\Tag\Project Outputs for Tag\Pick Place for Tag.txt

========================================================================================================================
File Design Information:

Date:       12/02/26
Time:       16:04
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                 Layer       Footprint                     Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                      
Y1         32kHz                   TopLayer    XTAL_ECS-.327-6-34RR-TR       5.4610       26.4160      90       "32.768kHz 20ppm Crystal 6pF 20 kOhm -40C ~ 85C Surface Mount 2-SMD, No Lead 3.2 x 1.5"                                                          
USB        "TYPE-C 16PIN 2MD(073)" BottomLayer USB-C-SMD_TYPE-C-6PIN-2MD-073 52.7051      26.5430      0        ""                                                                                                                                               
U6         AP2112K-3.3TRG1         BottomLayer SOT95P285X140-5N              38.3540      14.4780      180      "Linear Voltage Regulator IC Positive Fixed 1 Output 600mA SOT-25"                                                                               
U5         AP2112K-3.3TRG1         BottomLayer SOT95P285X140-5N              51.0540      20.7010      180      "Linear Voltage Regulator IC Positive Fixed 1 Output 600mA SOT-25"                                                                               
U4         MCP73831T-2ACI/OT       BottomLayer SOT95P280X145-5N              43.3070      25.4000      180      "Charger IC Lithium Ion/Polymer SOT-23-5"                                                                                                        
U3         BNO055                  TopLayer    LGA28R50P4X10_380X520X100     11.8110      26.4160      0        "BNO055 9-axis Absolute Orientation Sensor ( SiP ) w/Sensors and Sensor Fusion"                                                                  
U2         DWM1000                 TopLayer    XCVR_DWM1000                  52.5055      13.9200      270      "802.15.4 IR-UWB Transceiver Module 3.5GHz ~ 6.5GHz Integrated, Chip Surface Mount"                                                              
U1         ESP32-WROOM-32          TopLayer    MODULE_ESP32-WROOM-32         16.5235      13.2620      90       "Bluetooth, WiFi 802.11b/g/n, Bluetooth v4.2 +EDR, Class 1, 2 and 3 Transceiver Module 2.4GHz ~ 2.5GHz Antenna Not Included, U.FL Surface Mount" 
SW2        B3U-1000PM              TopLayer    SW_B3U-1000PM                 32.3850      20.4470      0        "Top, w/o Boss 1k Reel"                                                                                                                          
SW1        B3U-1000PM              TopLayer    SW_B3U-1000PM                 38.8620      8.2550       0        "Top, w/o Boss 1k Reel"                                                                                                                          
R10        1K                      BottomLayer 0603R                         36.0680      26.8590      90       "Resistor - 1%"                                                                                                                                  
R9         1K                      BottomLayer 0603R                         38.8874      25.4508      180      "Resistor - 1%"                                                                                                                                  
R8         2K                      BottomLayer 0603R                         20.9804      25.4508      180      "Resistor - 1%"                                                                                                                                  
R7         5K2                     BottomLayer 0603R                         49.1490      13.3350      180      "Resistor - 1%"                                                                                                                                  
R6         5K1                     BottomLayer 0603R                         61.8744      13.7668      180      "Resistor - 1%"                                                                                                                                  
R5         1K                      TopLayer    0603R                         23.8760      2.7940       0        "Resistor - 1%"                                                                                                                                  
R4         1K                      TopLayer    0603R                         28.1940      2.7940       0        "Resistor - 1%"                                                                                                                                  
R3         10K                     TopLayer    0603R                         19.5580      2.7940       0        "Resistor - 1%"                                                                                                                                  
R2         10K                     TopLayer    0603R                         33.9090      17.6530      0        "Resistor - 1%"                                                                                                                                  
R1         1K                      TopLayer    0603R                         42.4180      17.7800      0        "Resistor - 1%"                                                                                                                                  
LD?        GREEN                   TopLayer    0805LED                       47.7520      1.7780       0        "LED Green 1C 2A"                                                                                                                                
J1         B2B-PH-K-S              BottomLayer JST_B2B-PH-K-S                40.5130      2.6000       180      "Connector Header Through Hole 2 position 0.079 (2.00mm)"                                                                                        
H1         "Flash n Debug"         TopLayer    Header_6_Male                 23.3680      28.1940      180      ""                                                                                                                                               
D?         1N5819HW                TopLayer    SOD-123FL                     54.6102      1.6512       0        "Diode Anode Pin 1 Cathode Pin 3 (Pas de pin 2)"                                                                                                 
C15        100nF                   BottomLayer 0603C                         9.2964       24.9428      90       "Non-polarised capacitor"                                                                                                                        
C14        10uF                    BottomLayer 0603C                         14.8844      24.9428      90       "Non-polarised capacitor"                                                                                                                        
C13        100nF                   BottomLayer 0603C                         27.6860      22.4790      90       "Non-polarised capacitor"                                                                                                                        
C12        10uF                    BottomLayer 0603C                         33.1470      2.4780       90       "Non-polarised capacitor"                                                                                                                        
C11        100nF                   BottomLayer 0603C                         12.3190      1.7780       180      "Non-polarised capacitor"                                                                                                                        
C10        10uF                    BottomLayer 0603C                         8.2550       15.7480      90       "Non-polarised capacitor"                                                                                                                        
C9         100nF                   BottomLayer 0603C                         57.5564      13.7668      180      "Non-polarised capacitor"                                                                                                                        
C8         10uF                    BottomLayer 0603C                         54.8640      17.5260      180      "Non-polarised capacitor"                                                                                                                        
C7         100nF                   BottomLayer 0603C                         52.7050      11.9380      180      "Non-polarised capacitor"                                                                                                                        
C6         10uF                    BottomLayer 0603C                         44.6024      13.7668      180      "Non-polarised capacitor"                                                                                                                        
C5         100nF                   TopLayer    0603C                         37.3380      21.2090      0        "Non-polarised capacitor"                                                                                                                        
C4         22pF                    TopLayer    0603C                         43.1800      20.8280      0        "Non-polarised capacitor"                                                                                                                        
C3         22pF                    TopLayer    0603C                         32.8930      25.6540      0        "Non-polarised capacitor"                                                                                                                        
C2         100nF                   TopLayer    0603C                         34.7980      5.7150       0        "Non-polarised capacitor"                                                                                                                        
C1         1uF                     TopLayer    0603C                         30.2260      8.7630       0        "Non-polarised capacitor"                                                                                                                        
